,No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,date
0,1,2010,1,1,0,129.0,-21,-11.0,1021.0,0,1.79,0,0,2010-01-01 00:00:00
1,2,2010,1,1,1,129.0,-21,-12.0,1020.0,0,4.92,0,0,2010-01-01 01:00:00
2,3,2010,1,1,2,129.0,-21,-11.0,1019.0,0,6.71,0,0,2010-01-01 02:00:00
3,4,2010,1,1,3,129.0,-21,-14.0,1019.0,0,9.84,0,0,2010-01-01 03:00:00
4,5,2010,1,1,4,129.0,-20,-12.0,1018.0,0,12.97,0,0,2010-01-01 04:00:00
5,6,2010,1,1,5,129.0,-19,-10.0,1017.0,0,16.1,0,0,2010-01-01 05:00:00
6,7,2010,1,1,6,129.0,-19,-9.0,1017.0,0,19.23,0,0,2010-01-01 06:00:00
7,8,2010,1,1,7,129.0,-19,-9.0,1017.0,0,21.02,0,0,2010-01-01 07:00:00
8,9,2010,1,1,8,129.0,-19,-9.0,1017.0,0,24.15,0,0,2010-01-01 08:00:00
9,10,2010,1,1,9,129.0,-20,-8.0,1017.0,0,27.28,0,0,2010-01-01 09:00:00
10,11,2010,1,1,10,129.0,-19,-7.0,1017.0,0,31.3,0,0,2010-01-01 10:00:00
11,12,2010,1,1,11,129.0,-18,-5.0,1017.0,0,34.43,0,0,2010-01-01 11:00:00
12,13,2010,1,1,12,129.0,-19,-5.0,1015.0,0,37.56,0,0,2010-01-01 12:00:00
13,14,2010,1,1,13,129.0,-18,-3.0,1015.0,0,40.69,0,0,2010-01-01 13:00:00
14,15,2010,1,1,14,129.0,-18,-2.0,1014.0,0,43.82,0,0,2010-01-01 14:00:00
15,16,2010,1,1,15,129.0,-18,-1.0,1014.0,1,0.89,0,0,2010-01-01 15:00:00
16,17,2010,1,1,16,129.0,-19,-2.0,1015.0,0,1.79,0,0,2010-01-01 16:00:00
17,18,2010,1,1,17,129.0,-18,-3.0,1015.0,0,2.68,0,0,2010-01-01 17:00:00
18,19,2010,1,1,18,129.0,-18,-5.0,1016.0,2,1.79,0,0,2010-01-01 18:00:00
19,20,2010,1,1,19,129.0,-17,-4.0,1017.0,0,1.79,0,0,2010-01-01 19:00:00
20,21,2010,1,1,20,129.0,-17,-5.0,1017.0,1,0.89,0,0,2010-01-01 20:00:00
21,22,2010,1,1,21,129.0,-17,-5.0,1018.0,0,1.79,0,0,2010-01-01 21:00:00
22,23,2010,1,1,22,129.0,-17,-5.0,1018.0,0,2.68,0,0,2010-01-01 22:00:00
23,24,2010,1,1,23,129.0,-17,-5.0,1020.0,1,0.89,0,0,2010-01-01 23:00:00
24,25,2010,1,2,0,129.0,-16,-4.0,1020.0,3,1.79,0,0,2010-01-02 00:00:00
25,26,2010,1,2,1,148.0,-15,-4.0,1020.0,3,2.68,0,0,2010-01-02 01:00:00
26,27,2010,1,2,2,159.0,-11,-5.0,1021.0,3,3.57,0,0,2010-01-02 02:00:00
27,28,2010,1,2,3,181.0,-7,-5.0,1022.0,3,5.36,1,0,2010-01-02 03:00:00
28,29,2010,1,2,4,138.0,-7,-5.0,1022.0,3,6.25,2,0,2010-01-02 04:00:00
29,30,2010,1,2,5,109.0,-7,-6.0,1022.0,3,7.14,3,0,2010-01-02 05:00:00
30,31,2010,1,2,6,105.0,-7,-6.0,1023.0,3,8.93,4,0,2010-01-02 06:00:00
31,32,2010,1,2,7,124.0,-7,-5.0,1024.0,3,10.72,0,0,2010-01-02 07:00:00
32,33,2010,1,2,8,120.0,-8,-6.0,1024.0,3,12.51,0,0,2010-01-02 08:00:00
33,34,2010,1,2,9,132.0,-7,-5.0,1025.0,3,14.3,0,0,2010-01-02 09:00:00
34,35,2010,1,2,10,140.0,-7,-5.0,1026.0,3,17.43,1,0,2010-01-02 10:00:00
35,36,2010,1,2,11,152.0,-8,-5.0,1026.0,3,20.56,0,0,2010-01-02 11:00:00
36,37,2010,1,2,12,148.0,-8,-5.0,1026.0,3,23.69,0,0,2010-01-02 12:00:00
37,38,2010,1,2,13,164.0,-8,-5.0,1025.0,3,27.71,0,0,2010-01-02 13:00:00
38,39,2010,1,2,14,158.0,-9,-5.0,1025.0,3,31.73,0,0,2010-01-02 14:00:00
